Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,209.470001,210.649994,208.160004,209.000000,205.618652,1523100
2019-01-15,210.039993,211.339996,209.080002,211.029999,207.615799,1681900
2019-01-16,211.460007,211.460007,209.500000,210.179993,206.779572,1455000
2019-01-17,209.869995,211.649994,209.649994,211.460007,208.038864,1517100
2019-01-18,212.559998,214.160004,211.770004,213.589996,210.134399,2115400
2019-01-22,213.000000,215.559998,210.800003,212.399994,208.963638,3310800
2019-01-23,213.000000,214.850006,210.000000,212.089996,208.658676,2220200
2019-01-24,212.389999,212.389999,208.899994,210.309998,206.907455,1994400
2019-01-25,212.029999,212.320007,208.740005,209.070007,205.687515,2252300
2019-01-28,208.679993,210.789993,207.309998,210.770004,207.360031,1999400
2019-01-29,210.320007,210.539993,208.570007,210.309998,206.907455,1636500
2019-01-30,210.479996,212.169998,209.320007,211.350006,207.930634,1589800
2019-01-31,211.139999,214.880005,209.720001,214.630005,211.157578,4341100
2019-02-01,214.000000,215.000000,209.369995,210.270004,206.868103,3453700
2019-02-04,210.699997,211.190002,207.899994,211.179993,207.763367,1630300
2019-02-05,211.490005,212.520004,209.639999,211.610001,208.186447,2074500
2019-02-06,212.259995,212.259995,210.479996,211.600006,208.176590,1618800
2019-02-07,210.070007,210.100006,206.270004,209.050003,206.223373,2526600
2019-02-08,207.830002,208.490005,205.750000,207.750000,204.940948,2013700
2019-02-11,208.649994,208.919998,206.759995,208.720001,205.897842,2376600
2019-02-12,210.059998,212.750000,209.259995,211.899994,209.034836,2091200
2019-02-13,212.229996,213.509995,211.300003,212.800003,209.922684,1703000
2019-02-14,212.000000,214.550003,211.139999,213.839996,210.948593,1411100
2019-02-15,215.149994,217.250000,214.039993,216.470001,213.543045,2635500
2019-02-19,216.669998,219.600006,216.509995,218.119995,215.170731,1938100
2019-02-20,218.229996,219.070007,215.059998,217.110001,214.174377,1785600
2019-02-21,216.600006,216.720001,214.330002,215.229996,212.319794,1615300
2019-02-22,215.169998,216.589996,214.250000,216.289993,213.365463,1542500
2019-02-25,217.369995,219.089996,216.550003,217.050003,214.115204,1794000
2019-02-26,216.889999,218.910004,216.130005,217.610001,214.667618,1884100
2019-02-27,216.509995,218.860001,216.449997,218.050003,215.101669,1482700
2019-02-28,218.490005,219.690002,217.520004,218.740005,215.782349,2055600
2019-03-01,219.759995,220.570007,215.770004,219.440002,216.472870,2178200
2019-03-04,220.429993,221.080002,215.869995,218.410004,215.456802,2444700
2019-03-05,218.910004,221.610001,218.899994,219.820007,216.847748,2160200
2019-03-06,220.500000,221.910004,218.229996,219.229996,216.265732,1985300
2019-03-07,218.130005,219.389999,216.220001,216.789993,213.858688,3279100
2019-03-08,225.479996,228.699997,223.770004,227.820007,224.739594,6782700
2019-03-11,227.529999,229.910004,227.059998,229.690002,226.584305,3748400
2019-03-12,230.320007,233.399994,229.899994,232.960007,229.810089,2647100
2019-03-13,234.250000,237.449997,232.949997,236.380005,233.183838,2421200
2019-03-14,236.130005,236.380005,233.279999,233.839996,230.678162,2300300
2019-03-15,234.169998,235.649994,233.179993,233.600006,230.441406,5075400
2019-03-18,233.580002,236.679993,233.490005,236.589996,233.390991,1735400
